2018-09-16 11:56:17,774 [Worker-230] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 11:56:17,776 [Worker-230] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 11:56:17,776 [Worker-230] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
2018-09-16 12:00:04,166 [Worker-218] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 12:00:04,166 [Worker-218] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 12:00:04,182 [Worker-218] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 12:00:04,182 [Worker-218] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
2018-09-16 12:04:12,760 [Worker-234] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-09-16 12:04:13,211 [Worker-234] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: walletHubTest:walletHubTest:0.0.1-SNAPSHOT @ F:\deeksha working\selenium projects\walletHubTest\pom.xml.
2018-09-16 12:04:13,899 [Worker-234] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /walletHubTest/src
2018-09-16 12:04:13,899 [Worker-234] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /walletHubTest/src/test/java because it overlaps with /walletHubTest/src
2018-09-16 12:04:14,008 [Worker-234] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-09-16 12:04:14,299 [Worker-234] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 12:04:14,299 [Worker-234] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 12:04:14,299 [Worker-234] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 12:04:14,299 [Worker-234] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
2018-09-16 12:05:54,596 [Worker-235] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 12:05:54,597 [Worker-235] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 12:05:54,598 [Worker-235] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 12:05:54,599 [Worker-235] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
2018-09-16 12:07:05,113 [Worker-235] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\deeksha working\selenium projects\walletHubTest
2018-09-16 12:07:05,114 [Worker-235] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B mvn clean install
2018-09-16 12:07:52,056 [Worker-236] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\deeksha working\selenium projects\walletHubTest
2018-09-16 12:07:52,056 [Worker-236] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2018-09-16 12:12:18,291 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2018-09-16 12:12:18,362 [Worker-242] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\deeksha working\selenium projects\walletHubTest
2018-09-16 12:12:18,362 [Worker-242] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2018-09-16 18:08:06,752 [Worker-250] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 18:08:06,777 [Worker-250] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 18:08:06,778 [Worker-250] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 18:08:06,779 [Worker-250] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
2018-09-16 19:09:37,365 [Worker-267] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 19:09:37,411 [Worker-267] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\main\resources
2018-09-16 19:09:37,414 [Worker-267] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-16 19:09:37,415 [Worker-267] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\deeksha working\selenium projects\walletHubTest\src\test\resources
